Sheet,Cell,Business Meaning,Canonical Field,UI Location,Role,Notes
Nhập liệu,H63,Môi trường sống/an ninh,subject.characteristics.living_security,TSTĐ > Đặc điểm,INPUT,
Nhập liệu,H64,Tính thanh khoản,subject.characteristics.liquidity,TSTĐ > Đặc điểm,INPUT,
Nhập liệu,F65,Thông tin quy hoạch,subject.planning.note,TSTĐ > Quy hoạch,INPUT,
Nhập liệu,F66,Nguồn quy hoạch,subject.planning.source_url,TSTĐ > Quy hoạch,INPUT,
Nhập liệu,F67,Yếu tố có lợi khác,subject.characteristics.other_advantage,TSTĐ > Đặc điểm so sánh,INPUT,
Nhập liệu,F68,Yếu tố bất lợi khác,subject.characteristics.other_disadvantage,TSTĐ > Đặc điểm so sánh,INPUT,
Nhập liệu,F71,Loại công trình,subject.construction[0].construction_type,TSTĐ > CTXD,INPUT,Không được dùng để suy ra GCN có/không CTXD.
Nhập liệu,F72,Cấp công trình,subject.construction[0].grade,TSTĐ > CTXD,INPUT,
Nhập liệu,F73,Số tầng,subject.construction[0].floors_text,TSTĐ > CTXD,INPUT,
Nhập liệu,F74,Năm xây dựng,subject.construction[0].construction_year,TSTĐ > CTXD,INPUT,
Nhập liệu,F75,Kết cấu công trình,subject.construction[0].structure_description,TSTĐ > CTXD,INPUT,
Nhập liệu,F76,Hiện trạng sử dụng CTXD,subject.construction[0].current_use,TSTĐ > CTXD,INPUT,
Nhập liệu,I78,Tổng diện tích sử dụng CTXD,subject.construction[0].gross_floor_area_m2,TSTĐ > CTXD,DERIVED,
Nhập liệu,I80,Diện tích CTXD phù hợp quy hoạch,subject.construction[0].compliant_floor_area_m2,TSTĐ > CTXD,INPUT,
Nhập liệu,I82,Diện tích CTXD vi phạm quy hoạch,subject.construction[0].noncompliant_floor_area_m2,TSTĐ > CTXD,INPUT,
Phieu TTTT,E6,TSSS01 address.legacy.district,comparables[0].address.legacy.district,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,E7,TSSS01 address.legacy.commune,comparables[0].address.legacy.commune,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,E9,TSSS01 address.street,comparables[0].address.street,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,E10,TSSS01 address.house_number,comparables[0].address.house_number,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B11,TSSS01 location.raw_gps,comparables[0].location.raw_gps,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B13,TSSS01 market.contact_name,comparables[0].market.contact_name,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,E13,TSSS01 market.contact_phone,comparables[0].market.contact_phone,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B14,TSSS01 market.source_url,comparables[0].market.source_url,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B15,TSSS01 market.asking_or_sale_price_vnd,comparables[0].market.asking_or_sale_price_vnd,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B18,TSSS01 market.negotiated_price_vnd,comparables[0].market.negotiated_price_vnd,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B19,TSSS01 market.transaction_success_factor,comparables[0].market.transaction_success_factor,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B22,TSSS01 market.observation_period,comparables[0].market.observation_period,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B21,TSSS01 market.status,comparables[0].market.status,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B23,TSSS01 legal.document_name,comparables[0].legal.document_name,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,D25,TSSS01 parcel_number,comparables[0].parcel_number,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,D26,TSSS01 map_sheet_number,comparables[0].map_sheet_number,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,D27,TSSS01 land_use,comparables[0].land_use,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,D28,TSSS01 term,comparables[0].term,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,D29,TSSS01 total_area_m2,comparables[0].total_area_m2,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,D30,TSSS01 residential_area_m2,comparables[0].residential_area_m2,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,E33,TSSS01 noncompliant_area_m2,comparables[0].noncompliant_area_m2,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,D34,TSSS01 frontage,comparables[0].frontage,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,D35,TSSS01 depth,comparables[0].depth,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,D38,TSSS01 shape,comparables[0].shape,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B51,TSSS01 construction.type,comparables[0].construction.type,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B52,TSSS01 construction.year_text,comparables[0].construction.year_text,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B54,TSSS01 construction.floors_text,comparables[0].construction.floors_text,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B55,TSSS01 construction.gross_floor_area_m2,comparables[0].construction.gross_floor_area_m2,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B56,TSSS01 construction.current_use,comparables[0].construction.current_use,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B57,TSSS01 construction.structure_description,comparables[0].construction.structure_description,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B58,TSSS01 construction.remaining_quality_pct,comparables[0].construction.remaining_quality_pct,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B60,TSSS01 traffic_quality,comparables[0].traffic_quality,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B61,TSSS01 infrastructure_quality,comparables[0].infrastructure_quality,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B62,TSSS01 business_environment,comparables[0].business_environment,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B63,TSSS01 living_security,comparables[0].living_security,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B64,TSSS01 other_advantage,comparables[0].other_advantage,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,B65,TSSS01 other_disadvantage,comparables[0].other_disadvantage,TSSS 01,INPUT_OR_DERIVED,
Phieu TTTT,J6,TSSS02 address.legacy.district,comparables[1].address.legacy.district,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,J7,TSSS02 address.legacy.commune,comparables[1].address.legacy.commune,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,J9,TSSS02 address.street,comparables[1].address.street,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,J10,TSSS02 address.house_number,comparables[1].address.house_number,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G11,TSSS02 location.raw_gps,comparables[1].location.raw_gps,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G13,TSSS02 market.contact_name,comparables[1].market.contact_name,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,J13,TSSS02 market.contact_phone,comparables[1].market.contact_phone,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G14,TSSS02 market.source_url,comparables[1].market.source_url,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G15,TSSS02 market.asking_or_sale_price_vnd,comparables[1].market.asking_or_sale_price_vnd,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G18,TSSS02 market.negotiated_price_vnd,comparables[1].market.negotiated_price_vnd,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G19,TSSS02 market.transaction_success_factor,comparables[1].market.transaction_success_factor,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G20,TSSS02 market.observation_period,comparables[1].market.observation_period,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G21,TSSS02 market.status,comparables[1].market.status,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G23,TSSS02 legal.document_name,comparables[1].legal.document_name,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,I25,TSSS02 parcel_number,comparables[1].parcel_number,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,I26,TSSS02 map_sheet_number,comparables[1].map_sheet_number,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,I27,TSSS02 land_use,comparables[1].land_use,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,I28,TSSS02 term,comparables[1].term,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,I29,TSSS02 total_area_m2,comparables[1].total_area_m2,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,I30,TSSS02 residential_area_m2,comparables[1].residential_area_m2,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,J33,TSSS02 noncompliant_area_m2,comparables[1].noncompliant_area_m2,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,I34,TSSS02 frontage,comparables[1].frontage,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,I35,TSSS02 depth,comparables[1].depth,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,I38,TSSS02 shape,comparables[1].shape,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G51,TSSS02 construction.type,comparables[1].construction.type,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G52,TSSS02 construction.year_text,comparables[1].construction.year_text,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G54,TSSS02 construction.floors_text,comparables[1].construction.floors_text,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G55,TSSS02 construction.gross_floor_area_m2,comparables[1].construction.gross_floor_area_m2,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G56,TSSS02 construction.current_use,comparables[1].construction.current_use,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G57,TSSS02 construction.structure_description,comparables[1].construction.structure_description,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G58,TSSS02 construction.remaining_quality_pct,comparables[1].construction.remaining_quality_pct,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G60,TSSS02 traffic_quality,comparables[1].traffic_quality,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G61,TSSS02 infrastructure_quality,comparables[1].infrastructure_quality,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G62,TSSS02 business_environment,comparables[1].business_environment,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G63,TSSS02 living_security,comparables[1].living_security,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G64,TSSS02 other_advantage,comparables[1].other_advantage,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,G65,TSSS02 other_disadvantage,comparables[1].other_disadvantage,TSSS 02,INPUT_OR_DERIVED,
Phieu TTTT,N6,TSSS03 address.legacy.district,comparables[2].address.legacy.district,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,N7,TSSS03 address.legacy.commune,comparables[2].address.legacy.commune,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,N9,TSSS03 address.street,comparables[2].address.street,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,N10,TSSS03 address.house_number,comparables[2].address.house_number,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L11,TSSS03 location.raw_gps,comparables[2].location.raw_gps,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L13,TSSS03 market.contact_name,comparables[2].market.contact_name,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,N13,TSSS03 market.contact_phone,comparables[2].market.contact_phone,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L14,TSSS03 market.source_url,comparables[2].market.source_url,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L15,TSSS03 market.asking_or_sale_price_vnd,comparables[2].market.asking_or_sale_price_vnd,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L18,TSSS03 market.negotiated_price_vnd,comparables[2].market.negotiated_price_vnd,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L19,TSSS03 market.transaction_success_factor,comparables[2].market.transaction_success_factor,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L20,TSSS03 market.observation_period,comparables[2].market.observation_period,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L21,TSSS03 market.status,comparables[2].market.status,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L23,TSSS03 legal.document_name,comparables[2].legal.document_name,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,N25,TSSS03 parcel_number,comparables[2].parcel_number,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,N26,TSSS03 map_sheet_number,comparables[2].map_sheet_number,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,N27,TSSS03 land_use,comparables[2].land_use,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,N28,TSSS03 term,comparables[2].term,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,N29,TSSS03 total_area_m2,comparables[2].total_area_m2,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,N30,TSSS03 residential_area_m2,comparables[2].residential_area_m2,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,O33,TSSS03 noncompliant_area_m2,comparables[2].noncompliant_area_m2,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,N34,TSSS03 frontage,comparables[2].frontage,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,N35,TSSS03 depth,comparables[2].depth,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,N38,TSSS03 shape,comparables[2].shape,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L51,TSSS03 construction.type,comparables[2].construction.type,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L52,TSSS03 construction.year_text,comparables[2].construction.year_text,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L54,TSSS03 construction.floors_text,comparables[2].construction.floors_text,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L55,TSSS03 construction.gross_floor_area_m2,comparables[2].construction.gross_floor_area_m2,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L56,TSSS03 construction.current_use,comparables[2].construction.current_use,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L57,TSSS03 construction.structure_description,comparables[2].construction.structure_description,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L58,TSSS03 construction.remaining_quality_pct,comparables[2].construction.remaining_quality_pct,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L60,TSSS03 traffic_quality,comparables[2].traffic_quality,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L61,TSSS03 infrastructure_quality,comparables[2].infrastructure_quality,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L62,TSSS03 business_environment,comparables[2].business_environment,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L63,TSSS03 living_security,comparables[2].living_security,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L64,TSSS03 other_advantage,comparables[2].other_advantage,TSSS 03,INPUT_OR_DERIVED,
Phieu TTTT,L65,TSSS03 other_disadvantage,comparables[2].other_disadvantage,TSSS 03,INPUT_OR_DERIVED,
Bangtinh,H127,TLCLCL theo tuổi đời,subject.construction[0].calc.remaining_quality_age_method,CTXD > Chất lượng,CHECKPOINT,Dùng appraisal_date thay YEAR(NOW()).
Bangtinh,F140,TLCLCL theo chuyên gia/CT thành phần,subject.construction[0].calc.remaining_quality_expert,CTXD > Chất lượng,CHECKPOINT,Workbook sample.
Bangtinh,H153,TLCLCL bình quân,subject.construction[0].calc.remaining_quality_average,CTXD > Kết quả,CHECKPOINT,
Bangtinh,G156,Chi phí thay thế CTXD phù hợp quy hoạch,subject.construction[0].calc.replacement_cost_compliant,CTXD > Kết quả,CHECKPOINT,
Bangtinh,H161,Giá trị còn lại CTXD phù hợp quy hoạch,subject.construction[0].calc.remaining_value_compliant,CTXD > Kết quả,CHECKPOINT,
Bangtinh,H163,Tổng giá trị CTXD,valuation.construction_value_total,Kết quả > CTXD,CHECKPOINT,
Bangtinh,F108,Mức giá chỉ dẫn TSSS01,comparables[0].calculation.indicated_unit_price,Điều chỉnh,CHECKPOINT,
Bangtinh,G108,Mức giá chỉ dẫn TSSS02,comparables[1].calculation.indicated_unit_price,Điều chỉnh,CHECKPOINT,
Bangtinh,H108,Mức giá chỉ dẫn TSSS03,comparables[2].calculation.indicated_unit_price,Điều chỉnh,CHECKPOINT,
Bangtinh,F112,Tổng điều chỉnh gộp TSSS01,comparables[0].quality.gross_adjustment,Kết quả > Chất lượng TSSS,CHECKPOINT,
Bangtinh,G112,Tổng điều chỉnh gộp TSSS02,comparables[1].quality.gross_adjustment,Kết quả > Chất lượng TSSS,CHECKPOINT,
Bangtinh,H112,Tổng điều chỉnh gộp TSSS03,comparables[2].quality.gross_adjustment,Kết quả > Chất lượng TSSS,CHECKPOINT,
Sheet1,A20,Số lần điều chỉnh TSSS01,comparables[0].quality.adjustment_count,Kết quả > Chất lượng TSSS,CHECKPOINT,
Sheet1,A22,Tổng giá trị điều chỉnh gộp TSSS01,comparables[0].quality.gross_adjustment_value,Kết quả > Chất lượng TSSS,CHECKPOINT,
Sheet1,A24,Tổng giá trị điều chỉnh thuần TSSS01,comparables[0].quality.net_adjustment_value,Kết quả > Chất lượng TSSS,CHECKPOINT,
Sheet1,G18,Mức giá chỉ dẫn được đề xuất/chọn,valuation.guidance_unit_price,Kết quả,CHECKPOINT,Human final decision.
Bangtinh,H119,Đơn giá chỉ dẫn làm tròn,valuation.indicated_unit_price_rounded,Kết quả,CHECKPOINT,"ROUND(...,-3)"
Bangtinh,E171,Diện tích đất ở phù hợp quy hoạch,subject.land.components.residential.compliant_area_m2,Kết quả > Đất,DERIVED_REFERENCE,Từ Nhập liệu!F38
Bangtinh,F171,Đơn giá đất chỉ dẫn,valuation.indicated_unit_price_rounded,Kết quả > Đất,DERIVED_REFERENCE,Từ H119
Bangtinh,G171,Giá trị đất ở phù hợp quy hoạch,valuation.land_value.compliant_residential,Kết quả > Đất,CHECKPOINT,F171*E171
Bangtinh,E175,Diện tích đất ở vi phạm quy hoạch,subject.land.components.residential.noncompliant_area_m2,Kết quả > Đất,DERIVED_REFERENCE,
Bangtinh,F175,Đơn giá đất vi phạm quy hoạch,subject.land_price_reference.residential_unit_price,Kết quả > Đất,DERIVED_REFERENCE,Từ Nhập liệu!I31
Bangtinh,G175,Giá trị đất ở vi phạm quy hoạch,valuation.land_value.noncompliant_residential,Kết quả > Đất,CHECKPOINT,
Bangtinh,G169,Tổng giá trị quyền sử dụng đất công nhận,valuation.land_value_total,Kết quả,CHECKPOINT,Bao gồm logic bank/template hiện tại.
Bangtinh,G178,Tổng giá trị tài sản trên đất,valuation.construction_value_total_for_result,Kết quả,CHECKPOINT,Được lấy từ CTXD H161/H162.
Bangtinh,G181,Giá trị tài sản thẩm định giá,valuation.total_value_before_rounding_vnd,Kết quả,CHECKPOINT,"ROUND(G169+G178,0)"
Bangtinh,G182,Giá trị tài sản thẩm định giá làm tròn,valuation.final_appraised_value_vnd,Kết quả,CHECKPOINT,"ROUND(G181,-6)"
Offical,E5,AppraisalDate,case.appraisal_date,Output / Official,OUTPUT,Ngày thẩm định canonical.
Offical,E8,AssetAddress,subject.current_address,Output / Official,OUTPUT,
Offical,E13,Latitude,subject.location.lat,Output / Official,OUTPUT,
Offical,E14,Longitude,subject.location.lng,Output / Official,OUTPUT,
Offical,E16,PlanningInfo,subject.planning.note,Output / Official,OUTPUT,
Offical,E22,Land Area,valuation.output_rows[0].area_m2,Output / Official,OUTPUT,Từ Bangtinh E171
Offical,E23,Land UnitPrice,valuation.output_rows[0].unit_price_vnd,Output / Official,OUTPUT,Từ Bangtinh F171
Offical,E24,Land Amount,valuation.output_rows[0].amount_vnd,Output / Official,OUTPUT,Từ Bangtinh G171
Offical,E29,CTXD Area,valuation.output_rows[1].area_m2,Output / Official,OUTPUT,
Offical,E30,CTXD UnitPrice,valuation.output_rows[1].effective_unit_price_vnd,Output / Official,OUTPUT,
Offical,E31,CTXD Amount,valuation.output_rows[1].amount_vnd,Output / Official,OUTPUT,
Offical,E32,Total,valuation.final_appraised_value_vnd,Output / Official,OUTPUT,Từ Bangtinh G181; cần kiểm tra mục đích có dùng trước hay sau làm tròn.
Bangtinh,C63,Adjustment factor C3 label,adjustment_factor.relative_distance_to_local_points.label,Điều chỉnh,CONTROL,Resolves from Bangtinh!B14.
Bangtinh,C98,Adjustment factor C10 label,adjustment_factor.infrastructure.label,Điều chỉnh,CONTROL,Resolves from Bangtinh!B18 / Nhập liệu!F61.
Bangtinh,F65:H65,C3 selected rates,adjustments[C3].selected_rate_pct,Điều chỉnh > C3,INPUT,Human-editable rates.
Bangtinh,F100:H100,C10 selected rates,adjustments[C10].selected_rate_pct,Điều chỉnh > C10,INPUT,Human-editable rates.
